accession_num,artist,title_date,medium,medium category,dimensions,type,exam_date,overall_condition,remarks,priority,overall_analysis,rec_treat,treatment type
8-1991,James Otto Lewis,"Aboriginal Portfolio, 1938",Lithograph,Ink print,,Examination,6/29/1983,(not entered),Condition:  Frame:   Mat/Mount: new 4 ply acid-free mats new jap ppr hinges  Object: all prints discolored and acid mat burn brown kraft paper trimmed but still attached. (dry cleaned - see report)  Recommended Treatment: reduce acidity and stains. remove old tapes  Care and Maintenance:   Curatorial Priority:,4-Periodic monitoring needed,,wash bleach tape removal,wash bleach
8-1991,James Otto Lewis,"Aboriginal Portfolio, 1938",Lithograph,Ink print,,Examination,11/9/1987,(not entered),Condition:  Frame:   Mat/Mount: permalife folder  Object: has been overall backed  Recommended Treatment: more rigid storage and/or encapsulation  Care and Maintenance:   Curatorial Priority:,5-No treatment needed,,encapsulate,encapsulate
31-87,John Singer Sargent,"The Desert from Jerusalem, 1905",Watercolor and opaque watercolor,"Drawing, water sensitive","Unframed: 10 7/16 × 14 3/8 inches (26.47 × 36.5 cm)
Framed: 17 × 22 1/4 inches (43.18 × 56.52 cm)",Examination,1/22/1988,(not entered),Condition:  Frame: find  Mat/Mount: ok 9-86  Object: major treatment summer 86 sl-mod cockling  Recommended Treatment: flatten  Care and Maintenance:   Curatorial Priority:,5-No treatment needed,,flatten,flatten
31-87,John Singer Sargent,"The Desert from Jerusalem, 1905",Watercolor and opaque watercolor,"Drawing, water sensitive","Unframed: 10 7/16 × 14 3/8 inches (26.47 × 36.5 cm)
Framed: 17 × 22 1/4 inches (43.18 × 56.52 cm)",Examination,1/21/2016,Good,"See attached report i nItem Info for detailed locations of the condition notes.  Plexiglas glazing is cut too large for the frame, causing the top and bottom right corners to sag away from the face, as well as causing the frame bottom right corner to split. Plexiglas needs to be replaced with an appropriate sized sheet when possible.  Crease in the central top edge is a partial tear, where only the top layer of the sheet is torn. Treatment to mend the tear and flatten the associated area is recommended. Localized humidification and pressing may be enough to diminish the buckling.  Micro-cracking in the paint is seen in the thickly applied areas in the central bottom. No active flaking of the paint is observed. Close monitoring is needed when travelling.",3-Treatment as necessary,,none,none
31-87,John Singer Sargent,"The Desert from Jerusalem, 1905",Watercolor and opaque watercolor,"Drawing, water sensitive","Unframed: 10 7/16 × 14 3/8 inches (26.47 × 36.5 cm)
Framed: 17 × 22 1/4 inches (43.18 × 56.52 cm)",Examination,9/6/2019,Good condition | Minor repair in-house,,,,none,none
31-120,,"Initial ""N"" with the Stigmatization of Saint Francis, leaf from an antiphonary, Late 15th century",Tempera and gold leaf on vellum,"Drawing, water sensitive","Image: 19 x 14 5/8 inches (48.26 x 37.16 cm)
Sheet: 28 3/4 x 20 5/8 inches (73.03 x 52.4 cm)",Examination,7/31/1985,(not entered),"Condition:  Frame: yes  Mat/Mount: held to mat with masking tape, which has failed, therefore the piece has dropped in frame  Object: extremely cockled creases in UL have caused breakage of tempara and gold there is some cleavage of media from parchment  Recommended Treatment:   Care and Maintenance: treated winter 87  Curatorial Priority:",2-Treatment recommended,,,none
32-32,Antoine-Louis Barye,"Deer Attacked by a Panther, 19th century",Watercolor and opaque watercolor,"Drawing, water sensitive",Overall: 7 3/4 x 10 5/8 in. (19.685 x 27.0002 cm),Examination,7/26/1985,(not entered),Condition:  Frame: no  Mat/Mount:   Object: soiled and discolored portions abraded overall mounted to extremely poor board (thick and pulpy)  Recommended Treatment: major treatment 6-86 remated - rag 6-86  Care and Maintenance:   Curatorial Priority:,2-Treatment recommended,,major treatment,major treatment
32-32,Antoine-Louis Barye,"Deer Attacked by a Panther, 19th century",Watercolor and opaque watercolor,"Drawing, water sensitive",Overall: 7 3/4 x 10 5/8 in. (19.685 x 27.0002 cm),Examination,3/10/1993,Current Condition,,,,none,none
32-32,Antoine-Louis Barye,"Deer Attacked by a Panther, 19th century",Watercolor and opaque watercolor,"Drawing, water sensitive",Overall: 7 3/4 x 10 5/8 in. (19.685 x 27.0002 cm),Examination,9/18/2017,Good,"Hinged to handling mat with two Japanese paper pendant hinges at top  Ovearll: soiled; needs dry surface cleaning Top edge center: Japanese paper hinge attachment, not attached to mat",3-Treatment as necessary,Possibly a multi-color monotype print; needs confirmation by closer examination,none,none
32-69/1,Rembrandt Harmensz. van Rijn,"Landscape with Three Gabled Cottages Beside a Road, 1650",Etching and drypoint,Ink print,Overall: 6 3/8 x 8 1/8 in. (16.1798 x 20.6502 cm),Examination,9/14/1987,(not entered),Survey Card  CONDITION: Frame: No comment  Mat/Mount: slick 2 ply good glassine  Object: mod gen discoloration light foxing brown stains UR old tears & mends accretions  Recommended Treatment: clean wash mend treated Jan 91  Care and Maintenance: No comment  CURATORIAL PRIORITY: NA,3-Treatment as necessary,,treated,treated
32-69/2,Cornelis Visscher,"The Mouse Trap, Mid-17th century",Engraving,Ink print,5 7/16 x 7 11/16 inches (13.81 x 19.53 cm),Examination,9/14/1987,(not entered),Survey Card Frame: na  Mat/Mount: slick 2 ply good glassine  Object: sl gen discoloration mod. dark foxing  Recommended Treatment: wash to reduce staining  Care and Maintenance: na  CURATORIAL PRIORITY:  na,4-Periodic monitoring needed,,wash bleach,wash bleach
32-69/3,"Van Der Meer, Jules Jacquemart","Soldier and Laughing Maiden, 1866",Drypoint,Ink print,Image: 11 x 7 3/4 in. (27.94 x 19.685 cm),Examination,10/27/1987,(not entered),"Condition:  Frame:   Mat/Mount: slick 2 ply old acetate  Object: sl gen discoloration, mod in mount (wood) matburn, margins - slight  mod soiling old glues, skinning at T mount  Recommended Treatment: clean wash  Care and Maintenance:   Curatorial Priority:",4-Periodic monitoring needed,,wash,wash
32-69/4,James Abbott McNeill Whistler,"Afternoon Tea, ca. 1895",Lithograph,Ink print,"Plate: 7 1/4 x 6 1/8 in. (18.415 x 15.5702 cm)
Sheet: 15 3/4 x 9 1/2 in. (40.005 x 24.13 cm)",Examination,11/6/1987,(not entered),"Survey Card Frame: na  Mat/Mount: slick 2 ply good glassine  Object: sl gen discoloration mod matburn, margins sl-mod soil redge SEVERELY skinned  Recommended Treatment: (clean) wash  Care and Maintenance: na  CURATORIAL PRIORITY: na",4-Periodic monitoring needed,,wash,wash
32-69/5,James Abbott McNeill Whistler,"Savoy Pigeons, 1896",Lithograph,Ink print,"Plate: 7 7/8 x 5 3/8 in. (19.9898 x 13.6398 cm)
Sheet: 11 7/8 x 7 1/16 in. (30.1498 x 17.9324 cm)",Examination,11/6/1987,(not entered),"Survey Card Frame: na  Mat/Mount: slick 2 ply acetate  Object: sl-mod discoloration, worse T&R sl mod soiling R edge cockled  Recommended Treatment: clean wash  Care and Maintenance: na  CURATORIAL PRIORITY: na",4-Periodic monitoring needed,,wash,wash
